|dates|Hinsdale_Colorado_UnitedStates.AveragePrecipitationTotal.data|Hinsdale_Colorado_UnitedStates.AveragePrecipitationTotal.missing|Hinsdale_Colorado_UnitedStates.AveragePrecipitation.data|Hinsdale_Colorado_UnitedStates.AveragePrecipitation.missing|Hinsdale_Colorado_UnitedStates.AverageWindDirection.data|Hinsdale_Colorado_UnitedStates.AverageWindDirection.missing|Hinsdale_Colorado_UnitedStates.AverageWindSpeed.data|Hinsdale_Colorado_UnitedStates.AverageWindSpeed.missing
0|2020-08-20|0.0|0|0.0|0|133.4375|0|5.729166666666667|0
0|2020-08-21|0.0|0|0.0|0|121.97916666666667|0|4.645833333333333|0
0|2020-08-22|0.0|0|0.0|0|121.14583333333333|0|4.364583333333333|0
0|2020-08-23|0.0|0|0.0|0|111.45833333333333|0|4.895833333333333|0
0|2020-08-24|0.0|0|0.0|0|103.54166666666667|0|4.989583333333333|0
0|2020-08-25|0.0|0|0.00020833333333333335|0|117.29166666666667|0|5.302083333333333|0
0|2020-08-26|0.0|0|0.0|0|95.9375|0|3.6145833333333335|0
0|2020-08-27|0.0|0|0.0|0|132.5|0|5.427083333333333|0
0|2020-08-28|0.0|0|0.0|0|137.1875|0|6.041666666666667|0
0|2020-08-29|0.0|0|0.01|0|124.6875|0|4.677083333333333|0
0|2020-08-30|0.0|0|0.0009375|0|135.3125|0|4.989583333333333|0
0|2020-08-31|0.0|0|0.0|0|171.25|0|7.96875|0
0|2020-09-01|0.0|0|0.005|0|137.1875|0|3.5416666666666665|0
0|2020-09-02|0.0|0|0.0|0|154.27083333333334|0|5.864583333333333|0
0|2020-09-03|0.0|0|0.0|0|171.5625|0|5.96875|0
0|2020-09-04|0.0|0|0.0|0|149.47916666666666|0|5.90625|0
0|2020-09-05|0.0|0|0.0|0|150.88541666666666|0|6.067708333333333|0
0|2020-09-06|0.0|0|0.0|0|119.16666666666667|0|4.166666666666667|0
0|2020-09-07|0.0|0|0.0|0|161.45833333333334|0|6.302083333333333|0
0|2020-09-08|0.0|0|0.007083333333333334|0|188.33333333333334|0|7.572916666666667|0
0|2020-09-09|0.0|0|0.0018750000000000001|0|109.42708333333333|0|1.9427083333333333|0
0|2020-09-10|0.0|0|0.0077083333333333335|0|137.5|0|2.9895833333333335|0
0|2020-09-11|0.0|0|0.0|0|149.375|0|5.0625|0
0|2020-09-12|0.0|0|0.0|0|121.25|0|4.072916666666667|0
0|2020-09-13|0.0|0|0.0|0|141.97916666666666|0|5.239583333333333|0
0|2020-09-14|0.0|0|0.0|0|130.41666666666666|0|4.708333333333333|0
0|2020-09-15|0.0|0|0.0|0|105.3125|0|4.15625|0
0|2020-09-16|0.0|0|0.0|0|123.4375|0|4.15625|0
0|2020-09-17|0.0|0|0.0|0|149.27083333333334|0|5.739583333333333|0
0|2020-09-18|0.0|0|0.0|0|149.11458333333334|0|5.609375|0
0|2020-09-19|0.0|0|0.0|0|131.30208333333334|0|6.604166666666667|0
0|2020-09-20|0.0|0|0.0|0|138.95833333333334|0|4.90625|0
0|2020-09-21|0.0|0|0.0|0|148.22916666666666|0|6.666666666666667|0
0|2020-09-22|0.0|0|0.0|0|135.3125|0|5.635416666666667|0
0|2020-09-23|0.0|0|0.0|0|108.75|0|3.7916666666666665|0
0|2020-09-24|0.0|0|0.0|0|172.39583333333334|0|6.34375|0
0|2020-09-25|0.0|0|0.0|0|165.3125|0|7.052083333333333|0
0|2020-09-26|0.0|0|0.0|0|144.79166666666666|0|5.770833333333333|0
0|2020-09-27|0.0|0|0.0|0|185.26041666666666|0|8.0|0
