|dates|VanBuren_Michigan_UnitedStates.BLS_EmployedPopulation.data|VanBuren_Michigan_UnitedStates.BLS_EmployedPopulation.missing|VanBuren_Michigan_UnitedStates.BLS_UnemployedPopulation.data|VanBuren_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|VanBuren_Michigan_UnitedStates.BLS_UnemploymentRate.data|VanBuren_Michigan_UnitedStates.BLS_UnemploymentRate.missing|VanBuren_Michigan_UnitedStates.BLS_LaborForcePopulation.data|VanBuren_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-09-30|32538.0|0|2012.0|0|5.8234442836468885|0|34550.0|0
0|2020-10-01|32720.0|0|1837.0|0|5.315854964261944|0|34557.0|0
0|2020-10-02|32720.0|0|1837.0|0|5.315854964261944|0|34557.0|0
0|2020-10-03|32720.0|0|1837.0|0|5.315854964261944|0|34557.0|0
0|2020-10-04|32720.0|0|1837.0|0|5.315854964261944|0|34557.0|0
0|2020-10-05|32720.0|0|1837.0|0|5.315854964261944|0|34557.0|0
0|2020-10-06|32720.0|0|1837.0|0|5.315854964261944|0|34557.0|0
0|2020-10-07|32720.0|0|1837.0|0|5.315854964261944|0|34557.0|0
0|2020-10-08|32720.0|0|1837.0|0|5.315854964261944|0|34557.0|0
0|2020-10-09|32720.0|0|1837.0|0|5.315854964261944|0|34557.0|0
0|2020-10-10|32720.0|0|1837.0|0|5.315854964261944|0|34557.0|0
0|2020-10-11|32720.0|0|1837.0|0|5.315854964261944|0|34557.0|0
0|2020-10-12|32720.0|0|1837.0|0|5.315854964261944|0|34557.0|0
0|2020-10-13|32720.0|0|1837.0|0|5.315854964261944|0|34557.0|0
0|2020-10-14|32720.0|0|1837.0|0|5.315854964261944|0|34557.0|0
0|2020-10-15|32720.0|0|1837.0|0|5.315854964261944|0|34557.0|0
0|2020-10-16|32720.0|0|1837.0|0|5.315854964261944|0|34557.0|0
0|2020-10-17|32720.0|0|1837.0|0|5.315854964261944|0|34557.0|0
0|2020-10-18|32720.0|0|1837.0|0|5.315854964261944|0|34557.0|0
0|2020-10-19|32720.0|0|1837.0|0|5.315854964261944|0|34557.0|0
0|2020-10-20|32720.0|0|1837.0|0|5.315854964261944|0|34557.0|0
0|2020-10-21|32720.0|0|1837.0|0|5.315854964261944|0|34557.0|0
0|2020-10-22|32720.0|0|1837.0|0|5.315854964261944|0|34557.0|0
0|2020-10-23|32720.0|0|1837.0|0|5.315854964261944|0|34557.0|0
0|2020-10-24|32720.0|0|1837.0|0|5.315854964261944|0|34557.0|0
0|2020-10-25|32720.0|0|1837.0|0|5.315854964261944|0|34557.0|0
0|2020-10-26|32720.0|0|1837.0|0|5.315854964261944|0|34557.0|0
0|2020-10-27|32720.0|0|1837.0|0|5.315854964261944|0|34557.0|0
0|2020-10-28|32720.0|0|1837.0|0|5.315854964261944|0|34557.0|0
0|2020-10-29|32720.0|0|1837.0|0|5.315854964261944|0|34557.0|0
0|2020-10-30|32720.0|0|1837.0|0|5.315854964261944|0|34557.0|0
0|2020-10-31|32720.0|0|1837.0|0|5.315854964261944|0|34557.0|0
0|2020-11-01|32394.0|0|2074.0|0|6.017175351050249|0|34468.0|0
0|2020-11-02|32394.0|0|2074.0|0|6.017175351050249|0|34468.0|0
