|dates|Thurston_Washington_UnitedStates.AveragePrecipitationTotal.data|Thurston_Washington_UnitedStates.AveragePrecipitationTotal.missing|Thurston_Washington_UnitedStates.AveragePrecipitation.data|Thurston_Washington_UnitedStates.AveragePrecipitation.missing|Thurston_Washington_UnitedStates.AverageWindDirection.data|Thurston_Washington_UnitedStates.AverageWindDirection.missing|Thurston_Washington_UnitedStates.AverageWindSpeed.data|Thurston_Washington_UnitedStates.AverageWindSpeed.missing
0|2020-12-04|0.0|0|0.0|0|83.34325396825398|0|2.1359126984126986|0
0|2020-12-05|0.0|0|0.0|0|57.65873015873016|0|1.5386904761904763|0
0|2020-12-06|0.00125|0|0.0014583333333333332|0|192.74305555555554|0|6.131944444444444|0
0|2020-12-07|0.0004166666666666667|0|0.0|0|211.875|0|8.381944444444445|0
0|2020-12-08|0.0|0|0.011840277777777778|0|211.02777777777774|0|4.752777777777779|0
0|2020-12-09|0.015|0|0.0002777777777777778|0|158.86904761904762|0|6.329365079365079|0
0|2020-12-10|0.0001388888888888889|0|0.003159722222222222|0|144.79166666666666|0|4.586805555555556|0
0|2020-12-11|0.0022916666666666667|0|0.0008333333333333334|0|118.26388888888887|0|3.6111111111111107|0
0|2020-12-12|0.0|0|0.0008333333333333334|0|42.49404761904762|0|1.469940476190476|0
0|2020-12-13|0.00375|0|0.011041666666666667|0|157.70833333333334|0|4.177083333333333|0
0|2020-12-14|0.005|0|0.003958333333333333|0|203.2638888888889|0|7.6319444444444455|0
0|2020-12-15|0.00375|0|0.011666666666666667|0|198.75|0|10.0625|0
0|2020-12-16|0.0060416666666666665|0|0.01385416666666667|0|175.0|0|8.21875|0
0|2020-12-17|0.008541666666666666|0|0.004201388888888889|0|220.24305555555554|0|10.75|0
0|2020-12-18|0.0016666666666666668|0|0.016805555555555556|0|193.54166666666666|0|14.395833333333334|0
0|2020-12-19|0.017916666666666668|0|0.04094246031746032|0|158.92857142857142|0|9.169146825396824|0
0|2020-12-20|0.05333333333333334|0|0.004861111111111111|0|184.79166666666666|0|6.819444444444444|0
0|2020-12-21|0.0053125|0|0.046458333333333345|0|163.75|0|11.020833333333334|0
0|2020-12-22|0.04708333333333333|0|0.0|0|94.93055555555556|0|4.208333333333333|0
0|2020-12-23|0.0|0|0.0|0|44.24494949494949|0|3.1713383838383837|0
0|2020-12-24|0.0|0|0.0|0|88.04166666666667|0|1.7541666666666667|0
0|2020-12-25|0.0|0|0.017951388888888888|0|96.31944444444444|0|2.7708333333333335|0
0|2020-12-26|0.008194444444444443|0|0.009236111111111112|0|189.93055555555554|0|9.319444444444445|0
0|2020-12-27|0.0075|0|0.007500000000000001|0|132.45833333333334|0|4.8|0
0|2020-12-28|0.0025|0|0.0|0|93.77777777777777|0|3.349305555555555|0
0|2020-12-29|0.0|0|0.012499999999999999|0|187.91666666666666|0|5.048611111111112|0
0|2020-12-30|0.01958333333333333|0|0.030409722222222227|0|196.59027777777774|0|14.863194444444444|0
0|2020-12-31|0.010694444444444444|0|0.005805555555555556|0|202.0|0|9.665277777777778|0
0|2021-01-01|0.0027083333333333334|0|0.016250000000000004|0|194.93055555555554|0|12.645833333333334|0
0|2021-01-02|0.004166666666666667|0|0.08694444444444444|0|188.36805555555557|0|15.475694444444445|0
0|2021-01-03|0.09166666666666667|0|0.012520833333333333|0|159.67361111111111|0|7.015277777777778|0
0|2021-01-04|0.02291666666666667|0|0.030937500000000003|0|169.44444444444446|0|6.138888888888888|0
0|2021-01-05|0.02666666666666667|0|0.03208333333333333|0|195.83333333333334|0|10.458333333333334|0
0|2021-01-06|0.016249999999999997|0|0.01388888888888889|0|106.77083333333333|0|3.9097222222222228|0
0|2021-01-07|0.0|0|0.0|0|55.111111111111114|0|1.6951388888888888|0
0|2021-01-08|0.0008333333333333334|0|0.01|0|81.80555555555556|0|2.7083333333333335|0
0|2021-01-09|0.004791666666666667|0|0.0|0|33.239087301587304|0|1.5848214285714286|0
0|2021-01-10|0.006666666666666667|0|0.007500000000000001|0|202.36111111111111|0|6.694444444444444|0
0|2021-01-11|0.0008333333333333334|0|0.05166666666666667|0|137.56944444444443|0|5.208333333333333|0
0|2021-01-12|0.09250000000000001|0|0.0986388888888889|0|191.30555555555557|0|13.399305555555557|0
0|2021-01-13|0.0|0|0.04729166666666667|0|101.75|0|2.9958333333333336|0
0|2021-01-14|0.00020833333333333335|0|0.0|0|111.04166666666667|0|2.5520833333333335|0
0|2021-01-15|0.0010416666666666667|0|0.0016369047619047622|0|187.40178571428575|0|4.515972222222222|0
0|2021-01-16|0.0|0|0.0004166666666666667|0|37.708333333333336|0|1.0520833333333333|0
0|2021-01-17|0.0016666666666666668|0|0.0032500000000000007|0|128.88194444444443|0|4.4875|0
0|2021-01-18|8.333333333333333e-05|0|0.0|0|78.50694444444444|0|4.552083333333333|0
0|2021-01-19|0.0|0|0.0|0|76.5625|0|2.5520833333333335|0
0|2021-01-20|0.0|0|0.0004166666666666667|0|10.208333333333334|0|0.5416666666666666|0
0|2021-01-21|0.0003125|0|0.0017708333333333332|0|51.81944444444445|0|3.1888888888888887|0
0|2021-01-22|0.0020833333333333333|0|0.0|0|69.58333333333333|0|4.833333333333333|0
0|2021-01-23|0.0|0|0.0|0|140.7222222222222|0|3.494444444444445|0
0|2021-01-24|0.0|0|0.009375|0|207.08333333333334|0|8.409722222222221|0
0|2021-01-25|0.0031944444444444446|0|0.0|0|171.18055555555554|0|5.729166666666667|0
0|2021-01-26|0.0|0|0.0008333333333333334|0|110.27777777777777|0|3.4375|0
0|2021-01-27|0.0008333333333333334|0|0.008472222222222221|0|63.54166666666666|0|2.0347222222222223|0
0|2021-01-28|0.0062499999999999995|0|0.0008333333333333334|0|38.92361111111111|0|1.84375|0
0|2021-01-29|0.0|0|0.0015972222222222223|0|146.18055555555557|0|4.459027777777778|0
0|2021-01-30|0.005|0|0.009583333333333333|0|173.81944444444446|0|7.631944444444444|0
0|2021-01-31|0.010416666666666666|0|0.03392361111111112|0|103.19444444444446|0|5.333333333333333|0
