|dates|Logan_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Logan_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Logan_NorthDakota_UnitedStates.Male_Total_Population.data|Logan_NorthDakota_UnitedStates.Male_Total_Population.missing|Logan_NorthDakota_UnitedStates.Female_Total_Population.data|Logan_NorthDakota_UnitedStates.Female_Total_Population.missing|Logan_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Logan_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-09-09|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-09-10|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-09-11|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-09-12|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-09-13|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-09-14|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-09-15|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-09-16|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-09-17|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-09-18|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-09-19|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-09-20|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-09-21|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-09-22|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-09-23|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-09-24|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-09-25|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-09-26|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-09-27|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-09-28|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-09-29|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-09-30|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-10-01|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-10-02|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-10-03|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-10-04|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-10-05|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-10-06|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-10-07|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-10-08|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-10-09|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-10-10|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-10-11|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-10-12|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-10-13|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-10-14|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-10-15|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-10-16|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-10-17|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-10-18|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-10-19|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-10-20|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-10-21|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-10-22|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-10-23|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-10-24|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-10-25|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-10-26|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-10-27|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-10-28|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-10-29|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-10-30|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-10-31|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-11-01|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-11-02|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-11-03|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-11-04|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-11-05|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-11-06|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-11-07|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-11-08|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-11-09|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-11-10|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-11-11|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-11-12|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-11-13|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-11-14|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-11-15|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-11-16|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-11-17|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-11-18|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-11-19|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-11-20|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-11-21|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-11-22|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-11-23|494.0|0|983.0|0|920.0|0|438.0|0
